"Plant_I.D." "Year" "ElectricityKWH" "Sulfur_Dioxide_Daily" "Nitrous_Oxide_Daily" "Dollars_Millions" "Employees" "Heat_Content_of_Coal_Daily" "Heat_Content_of_Oil_Daily" "Heat_Content_of_Gas_Daily"
"101" 856 3451566000 0.022269 39.4372054794521 509607.21189589 0.0008435196 34023845400000 0.0302470954932329 0 9.38711239315068e-09
"102" 861 3752825000 0.13639712 87.3582739726027 601669.875452055 0.001598828 4.0513349e+13 0.025707723664537 0 5.75888491693151e-08
"103" 862 729880500 0.01822124 10.3665753424658 241349.90231589 0.0005623464 7901307800000 0.0083916957220274 0 7.70112484438356e-09
"104" 863 1023992500 0.02371463 10.0327671232877 186768.014727945 0.0005127276 10759707400000 0.0110010763434082 0 1.00136960531507e-08
"105" 864 1307216900 0.03011124 12.2651506849315 364239.126586301 0.0008104404 13117456800000 0.136190742344827 0 1.27366616136986e-08
"106" 876 4976267000 0.17163709 121.889698630137 728546.395920548 0.0018358956 5.5367771e+13 0 0.0606933517232877 7.25114115172603e-08
"107" 879 5183356000 0.02725628 72.5843287671233 1559298.32725479 0.0022990044 59029449200000 0 0.0904903808219178 1.25056582191781e-08
"108" 887 5261067000 0.08892797 48.6826301369863 998362.029608219 0.0020012916 55077588800000 0.0292502602027233 0 3.76002868306849e-08
"109" 889 10312760300 0.26028725 176.959780821918 948711.585358904 0.0014665112 103637545600000 0.0830937757808219 0 1.09948582812329e-07
"110" 983 9733628000 0.26445955 178.64397260274 937881.000120548 0.0021446348 94993072600000 0.0110072274410959 0 1.11744596065479e-07
"111" 988 3685694000 0.06270034 58.3868219178082 903000.8436 0.00179179 35294225600000 0.162453005676395 0 2.65270744783562e-08
"112" 991 594135000 0.01486537 6.11279452054795 306690.755049315 0.000523754 6693322800000 0.0440626328876712 0 6.27776816219178e-09
"113" 994 8450035000 0.1039369 73.8134246575343 1498101.6194137 0.0017862768 88954617200000 0.132656650076712 0 7.9496650659452e-08
"114" 1004 58946500 0.00169316 1.09150684931507 179656.974015068 0.0004024636 786292800000 0.0120121765150685 0 7.14753568767123e-10
"115" 1008 1441707600 0.04046063 20.4908219178082 394138.458909589 0.0008986516 15660260200000 0.113191663315068 0 1.70959614386301e-08
"116" 1012 1409182330 0.03997333 20.2514246575342 274212.498227397 0.00041349 14432977200000 0.00139917238520548 0.0105216144657534 1.68831605013699e-08
"117" 1047 1221574548 0.00752787 24.2311780821918 258433.144112055 0.000303226 13966126200000 0.032104413369863 0 3.34452286931507e-09
"118" 1250 1251918000 0.00430706 14.4057534246575 316654.596208219 0.000744282 14966691400000 0 0.303125271846575 3.90046461534247e-09
"119" 1355 3081035000 0.06128593 32.2629589041096 352133.554783562 0.0007608216 34028056200000 0.036825650630137 0 2.58536879408219e-08
"120" 1356 6936212000 0.07716943 68.0314520547945 1078617.53008219 0.0012845756 73009945400000 0.140951863943014 0 3.26041097638356e-08
"121" 1357 923301000 0.01919428 13.6932876712329 198706.677961918 0.0005843992 10662108400000 0.00700092039452055 0 8.13189759780822e-09
"122" 1364 6795405000 0.02011453 74.546904109589 918559.581161644 0.0028723772 70266927600000 0.147774726246575 0.147235557739726 8.22854806915069e-08
"123" 1570 389508000 0.00342021 3.91482191780822 162366.001108767 0.0003528448 4.241168e+12 0.0180688494575342 0 1.44527671232877e-09
"124" 1606 1078095000 0.01040227 11.8811232876712 104352.870364932 0.0003748976 10431038800000 0 0 4.39845076520548e-09
"125" 1695 2029514000 0.01325921 17.357095890411 412325.915953425 0.0010585344 20503440800000 0.0356251074410959 0 5.58766459068493e-09
"126" 1745 3155324000 0.01990345 27.6869315068493 979538.607586301 0.001736658 34418080800000 0.153148711653518 0 8.42480701150685e-09
"127" 1943 243964800 0.00269226 3.44153424657534 120301.275192877 0.0002095016 3057446400000 0.00141637117808219 0 1.44188834136986e-09
"128" 2080 1703623000 0.07398319 19.5151780821918 291979.190013699 0.000882112 1.8470506e+13 0.0519008984334247 0 3.31598668356164e-08
"129" 2103 11133609000 0.23912495 102.34797260274 1467824.82756438 0.0026794152 1.12077804e+14 0.243015571035616 0 1.01098430864384e-07
"130" 2107 3939674000 0.09236179 82.7277260273973 564571.500454794 0.001460998 41498728200000 0.0207903055068493 0 3.90144258591781e-08
"131" 2526 538564200 0.00943403 6.58312328767123 222592.963531781 0.0004741352 6312838800000 0.0465986117589041 0 3.98347970383562e-09
"132" 2527 678045499 0.01145861 9.37394520547945 220278.761963836 0.000523754 7.416415e+12 0.0551794604794521 0 4.83471557013699e-09
"133" 2535 1390678700 0.01945747 11.4562191780822 246897.098103836 0.0004575956 1.3166417e+13 0.0162273409811014 0 8.21367617178082e-09
"134" 2549 3224730000 0.03949283 39.2947945205479 990609.868753425 0.0016870392 33725528400000 0 0 1.67043315961644e-08
"135" 2554 2957508000 0.04120055 24.1952054794521 558211.992391781 0.0011798248 30077247200000 0 0 1.74124047747945e-08
"136" 2642 936994000 0.01670041 7.83898630136986 248600.793829315 0.0007332556 9942671800000 0.0414187400219178 0 7.05005980273973e-09
"137" 2706 2444484000 0.0158345 27.7935068493151 198122.243619178 0.000578886 24578320400000 0.0347559883631014 0 6.66200300547945e-09
"138" 2718 2284077000 0.01633909 18.3399726027397 528497.340484931 0.0008600592 22300190600000 0.100913101104526 0 6.88818078164384e-09
"139" 2721 2327086000 0.01722376 18.8667945205479 424601.877241096 0.000799414 2.307696e+13 0.0475120632547726 0 7.29322760958904e-09
"140" 2727 9552389000 0.06094501 70.8505479452055 810136.166172603 0.0010805872 86332113200000 0.170895684016208 0 2.57734750832877e-08
"141" 2790 281202100 0.00295575 2.15791780821918 94115.8098772603 0.0002866864 3763289600000 0 0 1.58105243013699e-09
